data2/p2p-Gnutella09.txt
c,50
Elapsed time: ,0.7213189601898193
total added edges,0
n iterations,0



data2/p2p-Gnutella09.txt
c,49
Elapsed time: ,0.7938649654388428
total added edges,0
n iterations,0



data2/p2p-Gnutella09.txt
c,48
Elapsed time: ,0.824012041091919
total added edges,0
n iterations,0



data2/p2p-Gnutella09.txt
c,47
Elapsed time: ,0.7879900932312012
total added edges,0
n iterations,0



data2/p2p-Gnutella09.txt
c,46
Elapsed time: ,0.7866220474243164
total added edges,0
n iterations,0



data2/p2p-Gnutella09.txt
c,45
Elapsed time: ,0.7750430107116699
total added edges,0
n iterations,0



data2/p2p-Gnutella09.txt
c,44
Elapsed time: ,0.8075559139251709
total added edges,0
n iterations,0



data2/p2p-Gnutella09.txt
c,43
Elapsed time: ,0.7743401527404785
total added edges,0
n iterations,0



data2/p2p-Gnutella09.txt
c,42
Elapsed time: ,0.8126108646392822
total added edges,0
n iterations,0



data2/p2p-Gnutella09.txt
c,41
Elapsed time: ,0.8007781505584717
total added edges,0
n iterations,0



data2/p2p-Gnutella09.txt
c,40
Elapsed time: ,0.803056001663208
total added edges,0
n iterations,0



data2/p2p-Gnutella09.txt
c,39
Elapsed time: ,0.8028559684753418
total added edges,0
n iterations,0



data2/p2p-Gnutella09.txt
c,38
Elapsed time: ,0.7927248477935791
total added edges,0
n iterations,0



data2/p2p-Gnutella09.txt
c,37
Elapsed time: ,0.8127000331878662
total added edges,0
n iterations,0



data2/p2p-Gnutella09.txt
c,36
Elapsed time: ,0.8070878982543945
total added edges,0
n iterations,0



data2/p2p-Gnutella09.txt
c,35
Elapsed time: ,0.7887098789215088
total added edges,0
n iterations,0



data2/p2p-Gnutella09.txt
c,34
Elapsed time: ,0.7812409400939941
total added edges,0
n iterations,0



data2/p2p-Gnutella09.txt
c,33
Elapsed time: ,0.7997879981994629
total added edges,0
n iterations,0



data2/p2p-Gnutella09.txt
c,32
Elapsed time: ,0.7936990261077881
total added edges,0
n iterations,0



data2/p2p-Gnutella09.txt
c,31
Elapsed time: ,0.8273530006408691
total added edges,0
n iterations,0



data2/p2p-Gnutella09.txt
c,30
Elapsed time: ,1.4960498809814453
total added edges,1
n iterations,1
0
1

data2/p2p-Gnutella09.txt
c,29
Elapsed time: ,1.515578031539917
total added edges,1
n iterations,1
0
1

data2/p2p-Gnutella09.txt
c,28
Elapsed time: ,1.4905779361724854
total added edges,2
n iterations,1
0
2

data2/p2p-Gnutella09.txt
c,27
Elapsed time: ,1.4931139945983887
total added edges,3
n iterations,1
0
3

data2/p2p-Gnutella09.txt
c,26
Elapsed time: ,1.5027711391448975
total added edges,4
n iterations,1
0
4

data2/p2p-Gnutella09.txt
c,25
Elapsed time: ,2.253748893737793
total added edges,7
n iterations,2
0,1
6,1

data2/p2p-Gnutella09.txt
c,24
Elapsed time: ,1.4960200786590576
total added edges,11
n iterations,1
0
11

data2/p2p-Gnutella09.txt
c,23
Elapsed time: ,2.256333112716675
total added edges,14
n iterations,2
0,1
13,1

data2/p2p-Gnutella09.txt
c,22
Elapsed time: ,1.4937949180603027
total added edges,21
n iterations,1
0
21

data2/p2p-Gnutella09.txt
c,21
Elapsed time: ,2.937649965286255
total added edges,33
n iterations,3
0,1,2
27,5,1

data2/p2p-Gnutella09.txt
c,20
Elapsed time: ,3.573258876800537
total added edges,47
n iterations,4
0,1,2,3
34,7,4,2

data2/p2p-Gnutella09.txt
c,19
Elapsed time: ,2.2398219108581543
total added edges,55
n iterations,2
0,1
49,6

data2/p2p-Gnutella09.txt
c,18
Elapsed time: ,3.617853879928589
total added edges,74
n iterations,4
0,1,2,3
58,12,3,1

data2/p2p-Gnutella09.txt
c,17
Elapsed time: ,5.080101013183594
total added edges,115
n iterations,6
0,1,2,3,4,5
76,23,8,3,2,3

data2/p2p-Gnutella09.txt
c,16
Elapsed time: ,20.203973054885864
total added edges,274
n iterations,27
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
100,37,25,14,9,10,8,10,6,3,3,3,2,3,8,5,4,7,3,2,3,2,2,2,1,1,1

data2/p2p-Gnutella09.txt
c,15
Elapsed time: ,19.833646059036255
total added edges,771
n iterations,24
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
130,52,37,31,25,23,20,20,18,25,34,39,43,32,34,31,49,53,14,6,23,9,20,3

data2/p2p-Gnutella09.txt
c,14
Elapsed time: ,17.75357699394226
total added edges,1052
n iterations,20
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
166,77,65,54,63,72,90,105,109,58,51,41,47,11,1,2,11,27,1,1

data2/p2p-Gnutella09.txt
c,13
Elapsed time: ,10.791676044464111
total added edges,1105
n iterations,12
0,1,2,3,4,5,6,7,8,9,10,11
208,110,89,123,189,181,105,35,25,6,31,3

data2/p2p-Gnutella09.txt
c,12
Elapsed time: ,8.383435010910034
total added edges,1309
n iterations,9
0,1,2,3,4,5,6,7,8
249,146,181,264,220,133,75,33,8

data2/p2p-Gnutella09.txt
c,11
Elapsed time: ,5.925291061401367
total added edges,1417
n iterations,6
0,1,2,3,4,5
319,196,299,301,259,43

data2/p2p-Gnutella09.txt
c,10
Elapsed time: ,13.47874903678894
total added edges,2992
n iterations,13
0,1,2,3,4,5,6,7,8,9,10,11,12
395,306,445,342,417,405,203,140,195,74,2,67,1

data2/p2p-Gnutella09.txt
c,9
Elapsed time: ,154.16619515419006
total added edges,82078
n iterations,23
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
482,476,1281,6217,17115,10902,7048,6361,6557,4626,5782,3904,2588,1217,431,1022,592,2623,549,399,366,1364,176

data2/p2p-Gnutella09.txt
c,8
Elapsed time: ,130.33007788658142
total added edges,104018
n iterations,14
0,1,2,3,4,5,6,7,8,9,10,11,12,13
584,900,5938,33922,26611,11609,10503,4730,3936,2221,1247,864,484,469

data2/p2p-Gnutella09.txt
c,7
Elapsed time: ,122.7459511756897
total added edges,108892
