data2/p2p-Gnutella04.txt
c,50
Elapsed time: ,0.815295934677124
total added edges,0
n iterations,0



data2/p2p-Gnutella04.txt
c,49
Elapsed time: ,1.1926560401916504
total added edges,0
n iterations,0



data2/p2p-Gnutella04.txt
c,48
Elapsed time: ,1.0731439590454102
total added edges,0
n iterations,0



data2/p2p-Gnutella04.txt
c,47
Elapsed time: ,1.0521159172058105
total added edges,0
n iterations,0



data2/p2p-Gnutella04.txt
c,46
Elapsed time: ,1.0401439666748047
total added edges,0
n iterations,0



data2/p2p-Gnutella04.txt
c,45
Elapsed time: ,1.0232930183410645
total added edges,0
n iterations,0



data2/p2p-Gnutella04.txt
c,44
Elapsed time: ,1.0485780239105225
total added edges,0
n iterations,0



data2/p2p-Gnutella04.txt
c,43
Elapsed time: ,1.2074520587921143
total added edges,0
n iterations,0



data2/p2p-Gnutella04.txt
c,42
Elapsed time: ,1.0582849979400635
total added edges,0
n iterations,0



data2/p2p-Gnutella04.txt
c,41
Elapsed time: ,1.0365409851074219
total added edges,0
n iterations,0



data2/p2p-Gnutella04.txt
c,40
Elapsed time: ,1.0361969470977783
total added edges,0
n iterations,0



data2/p2p-Gnutella04.txt
c,39
Elapsed time: ,1.0468580722808838
total added edges,0
n iterations,0



data2/p2p-Gnutella04.txt
c,38
Elapsed time: ,1.0826759338378906
total added edges,0
n iterations,0



data2/p2p-Gnutella04.txt
c,37
Elapsed time: ,1.1039350032806396
total added edges,0
n iterations,0



data2/p2p-Gnutella04.txt
c,36
Elapsed time: ,1.1215479373931885
total added edges,0
n iterations,0



data2/p2p-Gnutella04.txt
c,35
Elapsed time: ,1.0865230560302734
total added edges,0
n iterations,0



data2/p2p-Gnutella04.txt
c,34
Elapsed time: ,1.0333409309387207
total added edges,0
n iterations,0



data2/p2p-Gnutella04.txt
c,33
Elapsed time: ,1.0245749950408936
total added edges,0
n iterations,0



data2/p2p-Gnutella04.txt
c,32
Elapsed time: ,1.2417330741882324
total added edges,0
n iterations,0



data2/p2p-Gnutella04.txt
c,31
Elapsed time: ,1.0500249862670898
total added edges,0
n iterations,0



data2/p2p-Gnutella04.txt
c,30
Elapsed time: ,1.0612239837646484
total added edges,0
n iterations,0



data2/p2p-Gnutella04.txt
c,29
Elapsed time: ,1.0851240158081055
total added edges,0
n iterations,0



data2/p2p-Gnutella04.txt
c,28
Elapsed time: ,1.0721321105957031
total added edges,0
n iterations,0



data2/p2p-Gnutella04.txt
c,27
Elapsed time: ,1.0656468868255615
total added edges,0
n iterations,0



data2/p2p-Gnutella04.txt
c,26
Elapsed time: ,1.1841521263122559
total added edges,0
n iterations,0



data2/p2p-Gnutella04.txt
c,25
Elapsed time: ,1.0581529140472412
total added edges,0
n iterations,0



data2/p2p-Gnutella04.txt
c,24
Elapsed time: ,1.0145690441131592
total added edges,0
n iterations,0



data2/p2p-Gnutella04.txt
c,23
Elapsed time: ,2.022279977798462
total added edges,1
n iterations,1
0
1

data2/p2p-Gnutella04.txt
c,22
Elapsed time: ,2.0289618968963623
total added edges,1
n iterations,1
0
1

data2/p2p-Gnutella04.txt
c,21
Elapsed time: ,2.1704981327056885
total added edges,1
n iterations,1
0
1

data2/p2p-Gnutella04.txt
c,20
Elapsed time: ,2.2803680896759033
total added edges,1
n iterations,1
0
1

data2/p2p-Gnutella04.txt
c,19
Elapsed time: ,2.3954918384552
total added edges,3
n iterations,1
0
3

data2/p2p-Gnutella04.txt
c,18
Elapsed time: ,2.6470611095428467
total added edges,5
n iterations,1
0
5

data2/p2p-Gnutella04.txt
c,17
Elapsed time: ,2.2186529636383057
total added edges,5
n iterations,1
0
5

data2/p2p-Gnutella04.txt
c,16
Elapsed time: ,2.018174171447754
total added edges,6
n iterations,1
0
6

data2/p2p-Gnutella04.txt
c,15
Elapsed time: ,3.002916097640991
total added edges,7
n iterations,2
0,1
6,1

data2/p2p-Gnutella04.txt
c,14
Elapsed time: ,3.01829195022583
total added edges,13
n iterations,2
0,1
10,3

data2/p2p-Gnutella04.txt
c,13
Elapsed time: ,2.9995429515838623
total added edges,19
n iterations,2
0,1
17,2

data2/p2p-Gnutella04.txt
c,12
Elapsed time: ,4.0124640464782715
total added edges,34
n iterations,3
0,1,2
26,6,2

data2/p2p-Gnutella04.txt
c,11
Elapsed time: ,3.9588730335235596
total added edges,43
n iterations,3
0,1,2
36,6,1

data2/p2p-Gnutella04.txt
c,10
Elapsed time: ,6.988123893737793
total added edges,65
n iterations,6
0,1,2,3,4,5
51,8,3,1,1,1

data2/p2p-Gnutella04.txt
c,9
Elapsed time: ,4.907771110534668
total added edges,92
n iterations,4
0,1,2,3
76,13,2,1

data2/p2p-Gnutella04.txt
c,8
Elapsed time: ,17.536679983139038
total added edges,203
n iterations,17
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
128,26,15,7,9,1,1,1,1,2,3,3,1,1,1,1,2

data2/p2p-Gnutella04.txt
c,7
Elapsed time: ,202.81680703163147
total added edges,69483
n iterations,59
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
241,62,44,53,54,54,30,23,12,9,5,13,19,31,51,60,189,151,137,193,630,253,118,121,145,337,395,581,839,845,848,455,492,1012,1487,1746,2097,1880,2023,2001,3202,5467,4319,4504,4242,4815,3300,2676,2874,2497,2156,2916,1809,1102,1578,792,387,1053,58

data2/p2p-Gnutella04.txt
c,6
Elapsed time: ,404.86827087402344
total added edges,109714
n iterations,37
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
449,198,168,112,139,224,612,1384,2027,5018,7767,9952,15456,17641,12993,11834,5676,3665,2576,1723,2475,511,1169,220,430,431,442,856,431,130,1960,155,430,13,4,429,14

data2/p2p-Gnutella04.txt
c,5
Elapsed time: ,600.1077699661255
total added edges,186620
n iterations,26
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
